0:0:0:0:0:0:0:1 - - [25/Mar/2016:13:14:03 +0800] "GET /axis2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2016:13:14:04 +0800] "GET /axis2/ HTTP/1.1" 200 3733
127.0.0.1 - - [25/Mar/2016:14:11:55 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Mar/2016:14:32:29 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:32:29 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:32:29 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:32:29 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:32:29 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:32:29 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:32:29 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:32:29 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:32:29 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:32:29 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:32:29 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:32:30 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
